FromUrl,ToUrl,LinkNumber
/wiki/Kevin_Bacon,/wiki/Kevin_Bacon_(disambiguation),1
/wiki/Kevin_Bacon_(disambiguation),/wiki/Kevin_Bacon_(producer),2
/wiki/Kevin_Bacon_(producer),/wiki/Rotherham,3
/wiki/Rotherham,/wiki/Rotherham_(disambiguation),4
/wiki/Rotherham_(disambiguation),/wiki/Rotherham_(UK_Parliament_constituency),5
/wiki/Rotherham_(disambiguation),/wiki/Metropolitan_Borough_of_Rotherham,5
/wiki/Rotherham_(disambiguation),"/wiki/Rotherham,_New_Zealand",5
/wiki/Rotherham_(disambiguation),/wiki/Alan_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Arthur_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Gerard_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Hugh_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Joseph_Bryant_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Roland_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Thomas_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Edward_Rotheram,5
/wiki/Rotherham_(disambiguation),/wiki/Steve_Rotheram,5
/wiki/Rotherham_(disambiguation),/wiki/HMS_Rotherham_(H09),5
/wiki/Rotherham_(disambiguation),/wiki/Baron_Rotherham,5
/wiki/Rotherham_(disambiguation),/wiki/Rotherham_United_F.C.,5
/wiki/Rotherham_(disambiguation),/wiki/Rotherham_child_sexual_exploitation_scandal,5
/wiki/Rotherham,/wiki/Rotherham_Minster,4
/wiki/Rotherham_Minster,/wiki/Ordnance_Survey_National_Grid,5
/wiki/Rotherham_Minster,/wiki/Christian_denomination,5
/wiki/Rotherham_Minster,/wiki/Church_of_England,5
/wiki/Rotherham_Minster,/wiki/Churchmanship,5
/wiki/Rotherham_Minster,/wiki/Broad_Church,5
/wiki/Rotherham_Minster,/wiki/Dedication,5
/wiki/Rotherham_Minster,/wiki/Saint,5
/wiki/Rotherham_Minster,/wiki/Parish,5
/wiki/Rotherham_Minster,/wiki/Diocese,5
/wiki/Rotherham_Minster,/wiki/Diocese_of_Sheffield,5
/wiki/Rotherham_Minster,/wiki/Ecclesiastical_province,5
/wiki/Rotherham_Minster,/wiki/Province_of_York,5
/wiki/Rotherham_Minster,/wiki/Canon_(priest),5
/wiki/Rotherham_Minster,/wiki/Organist,5
/wiki/Rotherham_Minster,/wiki/South_Yorkshire,5
/wiki/Rotherham_Minster,/wiki/Sir_Nikolaus_Pevsner,5
/wiki/Rotherham_Minster,/wiki/Yorkshire,5
/wiki/Rotherham_Minster,/wiki/Grade_I_listed_building,5
/wiki/Rotherham_Minster,/wiki/William_Cowen,5
/wiki/Rotherham_Minster,/wiki/George_Gilbert_Scott,5
/wiki/Rotherham_Minster,/wiki/Gothic_architecture,5
/wiki/Rotherham_Minster,/wiki/Archbishop,5
/wiki/Rotherham_Minster,/wiki/Archbishopric_of_York,5
/wiki/Rotherham_Minster,/wiki/Alec_Clifton-Taylor,5
/wiki/Rotherham_Minster,/wiki/Parish_church,5
/wiki/Rotherham_Minster,/wiki/John_Snetzler,5
/wiki/Rotherham_Minster,/wiki/Historic_England,5
/wiki/Rotherham_Minster,/wiki/National_Heritage_List_for_England,5
/wiki/Rotherham_Minster,/wiki/International_Standard_Book_Number,5
/wiki/Rotherham_Minster,/wiki/Penguin_Books,5
/wiki/Rotherham_Minster,/wiki/Greater_Churches_Network,5
/wiki/Rotherham_Minster,/wiki/Bath_Abbey,5
/wiki/Rotherham_Minster,/wiki/St_Martin_in_the_Bull_Ring,5
/wiki/Rotherham_Minster,"/wiki/St_Botolph%27s_Church,_Boston",5
/wiki/Rotherham_Minster,/wiki/St_Mary_Redcliffe,5
/wiki/Rotherham_Minster,"/wiki/St_Mary%27s_Church,_Bury_St_Edmunds",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_Mary_the_Great,_Cambridge",5
/wiki/Rotherham_Minster,"/wiki/Cheltenham_Minster,_St_Mary%27s",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_Mary_and_All_Saints,_Chesterfield",5
/wiki/Rotherham_Minster,/wiki/Christchurch_Priory,5
/wiki/Rotherham_Minster,"/wiki/Holy_Trinity_Church,_Coventry",5
/wiki/Rotherham_Minster,"/wiki/St_Wulfram%27s_Church,_Grantham",5
/wiki/Rotherham_Minster,/wiki/Great_Malvern_Priory,5
/wiki/Rotherham_Minster,/wiki/Great_Yarmouth_Minster,5
/wiki/Rotherham_Minster,"/wiki/St_Mary,_Hadleigh",5
/wiki/Rotherham_Minster,"/wiki/All_Saints%27_Church,_Hertford",5
/wiki/Rotherham_Minster,/wiki/King%27s_Lynn_Minster,5
/wiki/Rotherham_Minster,"/wiki/St_James%27_Church,_Louth",5
/wiki/Rotherham_Minster,"/wiki/St_Laurence%27s_Church,_Ludlow",5
/wiki/Rotherham_Minster,"/wiki/All_Saints_Church,_Fulham",5
/wiki/Rotherham_Minster,"/wiki/All_Saints_Church,_Kingston_upon_Thames",5
/wiki/Rotherham_Minster,"/wiki/Christ_Church,_Spitalfields",5
/wiki/Rotherham_Minster,/wiki/St_Marylebone_Parish_Church,5
/wiki/Rotherham_Minster,/wiki/St_Martin-in-the-Fields,5
/wiki/Rotherham_Minster,/wiki/St_Peter_Mancroft,5
/wiki/Rotherham_Minster,"/wiki/All_Saints%27_Church,_Northampton",5
/wiki/Rotherham_Minster,/wiki/Pershore_Abbey,5
/wiki/Rotherham_Minster,/wiki/Romsey_Abbey,5
/wiki/Rotherham_Minster,"/wiki/St_Andrew%27s_Church,_Rugby",5
/wiki/Rotherham_Minster,"/wiki/St_Mary_the_Virgin,_Saffron_Walden",5
/wiki/Rotherham_Minster,"/wiki/St_Chad%27s_Church,_Shrewsbury",5
/wiki/Rotherham_Minster,"/wiki/Church_of_the_Holy_Trinity,_Stratford-upon-Avon",5
/wiki/Rotherham_Minster,"/wiki/St_Mary_Magdalene,_Taunton",5
/wiki/Rotherham_Minster,/wiki/Sherborne_Abbey,5
/wiki/Rotherham_Minster,/wiki/Shrewsbury_Abbey,5
/wiki/Rotherham_Minster,/wiki/Tewkesbury_Abbey,5
/wiki/Rotherham_Minster,/wiki/Waltham_Abbey_Church,5
/wiki/Rotherham_Minster,"/wiki/Collegiate_Church_of_St_Mary,_Warwick",5
/wiki/Rotherham_Minster,/wiki/Wimborne_Minster_(church),5
/wiki/Rotherham_Minster,/wiki/St_Peter%27s_Collegiate_Church,5
/wiki/Rotherham_Minster,/wiki/Beverley_Minster,5
/wiki/Rotherham_Minster,/wiki/Bolton_Priory,5
/wiki/Rotherham_Minster,/wiki/Bridlington_Priory,5
/wiki/Rotherham_Minster,/wiki/Cartmel_Priory,5
/wiki/Rotherham_Minster,"/wiki/St_George%27s_Minster,_Doncaster",5
/wiki/Rotherham_Minster,/wiki/Halifax_Minster,5
/wiki/Rotherham_Minster,"/wiki/St_Peter%27s_Church,_Harrogate",5
/wiki/Rotherham_Minster,/wiki/Grimsby_Minster,5
/wiki/Rotherham_Minster,/wiki/Hexham_Abbey,5
/wiki/Rotherham_Minster,/wiki/Hull_Minster,5
/wiki/Rotherham_Minster,/wiki/Kendal_Parish_Church,5
/wiki/Rotherham_Minster,/wiki/Lancaster_Priory,5
/wiki/Rotherham_Minster,/wiki/Leeds_Minster,5
/wiki/Rotherham_Minster,"/wiki/Church_of_Our_Lady_and_Saint_Nicholas,_Liverpool",5
/wiki/Rotherham_Minster,"/wiki/St_Mary%27s_Church,_Nantwich",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St._Mary_Magdalene,_Newark-on-Trent",5
/wiki/Rotherham_Minster,"/wiki/St_Mary%27s_Church,_Nottingham",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_Peter_and_St_Paul,_Ormskirk",5
/wiki/Rotherham_Minster,/wiki/Selby_Abbey,5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_Wilfrid,_Standish",5
/wiki/Rotherham_Minster,/wiki/Sunderland_Minster,5
/wiki/Rotherham_Minster,"/wiki/Priory_Church_of_St_Mary,_Abergavenny",5
/wiki/Rotherham_Minster,"/wiki/St_John_the_Baptist_Church,_Cardiff",5
/wiki/Rotherham_Minster,"/wiki/St_Giles%27_Church,_Wrexham",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_John_the_Evangelist,_Edinburgh",5
/wiki/Rotherham_Minster,/wiki/Geographic_coordinate_system,5
/wiki/Rotherham,/wiki/United_Kingdom_Census_2011,4
/wiki/United_Kingdom_Census_2011,/wiki/General_Register_Office_for_Scotland,5
/wiki/United_Kingdom_Census_2011,/wiki/National_Records_of_Scotland,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_in_the_United_Kingdom,5
/wiki/United_Kingdom_Census_2011,/wiki/Internet,5
/wiki/United_Kingdom_Census_2011,/wiki/Office_for_National_Statistics,5
